d,price_usd,rhodl_1m
2014-10-13,391.9942089421,1603.8183666666666
2014-10-14,400.8805920544,1617.9217666666668
2014-10-15,394.6258798948,1632.9324
2014-10-16,382.3214763296,1649.5760999999998
2014-10-17,382.2007895967,1662.0760666666667
2014-10-18,391.2931770894,1670.1088666666665
2014-10-19,388.6844979544,1661.9233333333332
2014-10-20,381.1908585622,1650.7962333333335
2014-10-21,385.2046335412,1640.0044
2014-10-22,380.7787632963,1626.1849333333332
2014-10-23,357.3447931034,1613.4154333333333
2014-10-24,357.4884339568,1603.8656999999998
2014-10-25,345.8112466394,1593.7372666666665
2014-10-26,353.081956166,1589.2996666666666
2014-10-27,350.0157118644,1584.6354999999999
2014-10-28,354.6538050847,1573.8021999999999
2014-10-29,333.5993500877,1561.638866666667
2014-10-30,344.6093822326,1556.9817666666665
2014-10-31,337.1829126242,1553.9239999999998
2014-11-01,324.3713150205,1544.9632666666666
2014-11-02,324.2485666277,1532.9902333333334
2014-11-03,325.3618655757,1516.7986666666666
2014-11-04,329.6577039743,1489.1671
